[0.43s]  You're a monster
[2.23s]  I can swallow a bottle of alcohol and a feel like Godzilla
[6.23s]  Better hit the deck like the car dealer
[8.23s]  My whole squad's I'm here walking around the party across
[11.03s]  Between a zombie, a park and a symbi-bomb it up
[14.03s]  Brain healing, which is probably the same reason
[16.03s]  I wrestle with Vainey and Shadees and his bitch I'm positive
[18.03s]  I'm considerate, who crossed me across
[20.03s]  In a stake if they said it like a play date
[29.41s]  Been a vacate, retreat like a vacate, Mayday
[31.41s]  This beat is Craig Ray, JHA, JHA, JHA
[34.21s]  Matt Faye, all the way to the bank, got spray flames
[37.21s]  You get in my way, I'm gonna feed you to the monster
[40.21s]  I'm no more during the day, but at night I took to a monster
[43.21s]  When the moonshine's like ice roll truckers
[46.21s]  I look like a villain, that ain't always blocked
[48.21s]  Blushed up to the fire, spit at once
[51.21s]  Paul did so many games that pissed them off
[64.73s]  It's impossible to list them off
[65.73s]  And in the midst of all this, I'm in the midst of
[67.73s]  Hospital with a pistol ball, trying to see what I see
[69.73s]  Like this to my wrist, but don't force his wrist
[71.73s]  But this is ball back up against the wall, pencil drawn
[73.73s]  This is just a song, they go ballistic on
[75.73s]  This is just a pistol on the guy with a missile launcher
[77.73s]  I'm just a lot, this is a mythological
[79.73s]  Quick to tell a bitch you off like I fit the vodka
[81.73s]  When you twist the top of the bottle, I'm a monster
[83.73s]  You get in my way, I'm gonna feed you to the monster
[86.73s]  I'm no more during the day, but at night I took to a monster
[89.73s]  When the moonshine's like ice roll truckers
[92.73s]  I look like a villain, that ain't always blocked
[96.42s]  Blushed up to the fire, spit at once
[97.42s]  I'm getting keys that cake ball, can't even lend you an ear
[145.06s]  And even pretend to care
[146.06s]  But I tell a bitch I'm area of Shiberia, Face of my genital area
[148.06s]  The original, Richard Ramirez, Christopher Barracks
[150.06s]  My lyrics never sit well, so they want to give me the chance
[152.06s]  Like a paraplegic, and it's scary, call it Harry-Carrie
[154.06s]  Because there's time I'm digging Harry-Carrie
[156.06s]  I'm area, motherfuckin' dictionary, I'm swearing up and down
[158.06s]  Like a spit that shit's hilarious, it's time to put these bitches in
[160.06s]  Yeah, bitch, you're wearing collar, we wouldn't see
[162.06s]  I, I want a staring problem, get the shab like a staring collar
[164.06s]  My bad meat, see what that means, take a back seat, take a back to fat beats
[168.53s]  What a max, he's single, look at my rap sheet, what attracts these people
[170.53s]  Is my gangsta, bitch like a patchy, what a catchy jiggle, I stack tips
[174.53s]  You better gotta have feet, fill them with the venom and eliminate them
[178.42s]  Otherwise I'm in a minute, I don't wanna hurt them
[179.42s]  But I did them in a fit of rage, I'm murderin' again, nobody will evade them
[181.42s]  Feel it, kill them and dump out the fucking bodies, and they'll link a blitter
[183.42s]  Rating, everything is enter-rater, and I get them in a minute, make anybody who won them
[185.42s]  With a pin and frame, I don't nobody want them, but they're gonna get it anyway
[187.42s]  I'ma get into fill like I'm in a minute, tell them I kill them and kill them
[189.42s]  Kill them and kill them, be the vanilla girl, you bringin' a killin' with them
[191.42s]  You don't wanna be the enemy of the demon, you wanna be the enemy of the enemy of the enemy of the enemy
[193.42s]  And to receive an enemy, what stupidity to get to be, every bit of me is the epitome
[195.42s]  If I spit it, when I'm in the vicinity, motherfuckin' you better duck
[197.42s]  You been to be dead the minute you read enemy, 100% you was a fifth of a person in me, and motherfuckin' you better
[200.42s]  You bitch, I'm available, you wanna battle them available, I wanna play an inflatable, I'm underbatable
[203.42s]  I'm unavoidable, I'm underbatable, I'm underbatable, I'm under toilet wall, I gotta try the full of money
[205.42s]  And I'm paid it, I'm paid it, I'm not afraid of, pull them
[207.42s]  Man stop, look what I'm planin'
[209.42s]  Ha!
